ID Pemesanan,Status Pesanan,Kode Pesanan Affiliate,Waktu Pemesanan,Waktu Terselesaikan,Waktu Klik,Nama Toko,ID Shop,Tipe toko.,ID Barang,Nama Barange,ID Model,Tipe Produk,ID Promosi,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Harga(Rp),Jumlah,Tipe Penawaran,Kampanye Partnerr,Nilai Pembelian(Rp),Jumlah Pengembalian Dana(Rp),Persentase Komisi Shopee pada Produk,Komisi Barang Shopee(Rp),Persentase Komisi XTRA pada Produk,Komisi XTRA Produk(Rp),Total Komisi per Produk(Rp),Komisi Shopee per Pesanan(Rp),Komisi XTRA per Pesanan(Rp),Total Komisi per Pesanan(Rp),Nama MCN Terhubung,ID Kontrak MCN,Persentase Biaya Manajemen MCN,Biaya Manajemen MCN(Rp),Persentase Pembagian Komisi Affiliate,Komisi Bersih Affiliate (Rp),Status Produk Affiliate,Catatan Produk,Tipe Pesanan,Status Pemebelian,Tag_link1,Tag_link2,Tag_link3,Tag_link4,Tag_link5,Platform
2506105E49FSQ5,Tertunda,203186975255500,2025-06-09 23:49:36,,2025-06-09 23:15:41,Eatkit Authorized Store Medan,548487485,Preferred(Non-CB),24276022250,[Medan Ready Stock] Eatkit Hampers Mangkok Set | Hampers Keramik Gaya Porselen Biru Dan Putih Gift Set | Mangkok Set Souvenir Bo,208448897684,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Mangkuk,39999,1,Komisi XTRA,,39559,,0.00%,0,3.00%,1186.77,1186.77,0,2699.91,2699.91,,0,0.00%,0,100.00%,2699.91,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506105E49FSQ5,Tertunda,203186975255500,2025-06-09 23:49:36,,2025-06-09 23:15:41,Eatkit Authorized Store Medan,548487485,Preferred(Non-CB),27929325017,[Medan Ready Stock]  Eatkit Hampers Mangkok Set | Hampers Piring Keramik Set | Gift Set Hampers | Mangkok Souvenir Bohemian Styl,139277183170,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Mangkuk,19999,1,Komisi XTRA,,19779,,0.00%,0,3.00%,593.37,593.37,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506105E49FSQ5,Tertunda,203186975255500,2025-06-09 23:49:36,,2025-06-09 23:15:41,Eatkit Authorized Store Medan,548487485,Preferred(Non-CB),27929325017,[Medan Ready Stock]  Eatkit Hampers Mangkok Set | Hampers Piring Keramik Set | Gift Set Hampers | Mangkok Souvenir Bohemian Styl,139277183178,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Mangkuk,19999,1,Komisi XTRA,,19779,,0.00%,0,3.00%,593.37,593.37,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506105E49FSQ5,Tertunda,203186975255500,2025-06-09 23:49:36,,2025-06-09 23:15:41,Eatkit Authorized Store Medan,548487485,Preferred(Non-CB),27929325017,[Medan Ready Stock]  Eatkit Hampers Mangkok Set | Hampers Piring Keramik Set | Gift Set Hampers | Mangkok Souvenir Bohemian Styl,260264728647,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Mangkuk,11000,1,Komisi XTRA,,10880,,0.00%,0,3.00%,326.4,326.4,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506105CHCJECV,Tertunda,203185267207312,2025-06-09 23:21:07,,2025-06-09 23:19:21,MKG Mall,1195099709,Preferred(Non-CB),26780230589,Rak Piring Wastafel  Dapur Stainless Steel Dengan Penutup Kabinet Rak Penyimpanan Piring Cuci Piring Wastafel Rak Piring Gantung,215901053354,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Rak Dapur,280000,1,Komisi XTRA,,251750,,1.00%,2517.5,7.00%,17622.5,20140,2517.5,17622.5,20140,,0,0.00%,0,100.00%,20140,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
25060958XCBTEV,Tertunda,203181408221283,2025-06-09 22:16:48,,2025-06-09 22:11:20,Edisan Selular,16140427,Preferred(Non-CB),2111063607,Samsung Galaxy A06 [4GB+64GB] [4GB+128GB] Garansi Resmi 1 Tahun,194825946808,Normal Product,,Handphone & Aksesoris,Handphone,,1249000,1,Komisi XTRA,,1186550,,0.00%,0,0.60%,7119.3,7119.3,0,7119.3,7119.3,,0,0.00%,0,100.00%,7119.3,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
250609580MKFMC,Tertunda,203180410233266,2025-06-09 22:00:10,,2025-06-09 21:58:46,smartcome,274847338,Preferred(Non-CB),4880396405,Nokia 1280 FullSet Hp Nokia Jadul,90973913724,Normal Product,,Handphone & Aksesoris,Handphone,,75000,1,Komisi XTRA,,75000,,1.00%,750,5.00%,3750,4500,750,3750,4500,,0,0.00%,0,100.00%,4500,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506094GBDKXQU,Tertunda,203155002200889,2025-06-09 14:56:42,,2025-06-09 10:09:21,TopGadgetShop,960718609,C2C(Non-CB),24356736896,HP SAMSUNG GALAXY A14 RAM 6/128GB | FULLSET | GARANSI 1 TAHUN,168022546120,Normal Product,,Handphone & Aksesoris,Handphone,,1011000,1,Komisi XTRA,,970560,,0.00%,0,2.50%,24264,24264,0,24264,24264,,0,0.00%,0,100.00%,24264,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506094DCF9QX3,Tertunda,203151816295969,2025-06-09 14:03:36,,2025-06-09 13:56:30,LESTARIGROSIR14,776444287,C2C(Non-CB),23753835701,VP 36 PCS / 3 LUSINAN PIRING ROTAN PLASTIK TEBAL,243427783952,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Piring,35600,1,Komisi XTRA,,35400,,0.00%,0,3.00%,1062,1062,0,1062,1062,,0,0.00%,0,100.00%,1062,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
2506094D7QNEMQ,Tertunda,203151657294133,2025-06-09 14:00:56,,2025-06-09 13:56:30,LESTARIGROSIR14,776444287,C2C(Non-CB),23753835701,VP 36 PCS / 3 LUSINAN PIRING ROTAN PLASTIK TEBAL,243427783952,Normal Product,,Perlengkapan Rumah,Peralatan Makan,Piring,35600,1,Komisi XTRA,,35400,,0.00%,0,3.00%,1062,1062,0,1062,1062,,0,0.00%,0,100.00%,1062,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan Produk dari Toko yang Dipromosikan,Ada,,,,,,Shopeelive-Shopee
